unit,=,ns,,,,,
SBox_Type,Stage_Num,Switch_Num,Output_Num,Input_Num,Num_Loads,Rise_Delay,Fall_Delay
SB_LC,0,4,1,4,3,0.1768115,0.1906427
SB_LC,0,4,1,5,1,0.1430044,0.156601
SB_LC,0,4,1,5,2,0.1577783,0.171326
SB_LC,0,4,1,5,3,0.1788315,0.1934569
SB_LC,0,4,2,0,1,0.1744927,0.1793261
SB_LC,0,4,2,0,2,0.204861,0.2052148
SB_LC,0,4,2,0,3,0.2322004,0.2293333
SB_LC,0,4,2,1,1,0.158335,0.15394
SB_LC,0,4,2,1,2,0.1813521,0.1752071
SB_LC,0,4,2,1,3,0.2016744,0.1947749
SB_LC,0,4,2,2,1,0.1375636,0.150104
SB_LC,0,4,2,2,2,0.1565294,0.1686814
SB_LC,0,4,2,2,3,0.1774241,0.1902737
SB_LC,0,4,2,3,1,0.1395318,0.152834
SB_LC,0,4,2,3,2,0.157782,0.1701136
SB_LC,0,4,2,3,3,0.1783463,0.1913042
SB_LC,0,4,2,4,1,0.1329597,0.1438406
SB_LC,0,4,2,4,2,0.1541054,0.1651508
SB_LC,0,4,2,4,3,0.1746542,0.1863457
SB_LC,0,4,2,5,1,0.1332074,0.1444482
SB_LC,0,4,2,5,2,0.1540573,0.1656097
SB_LC,0,4,2,5,3,0.1757152,0.186778
SB_LC,0,5,0,1,1,0.1489911,0.1543553
SB_LC,0,5,0,1,2,0.1712902,0.1762924
SB_LC,0,5,0,1,3,0.1938474,0.2001641
SB_LC,0,5,0,2,1,0.1532298,0.1597843
SB_LC,0,5,0,2,2,0.1727282,0.1797854
SB_LC,0,5,0,2,3,0.1960288,0.2023153
SB_LC,0,5,0,3,1,0.1562947,0.1637109
SB_LC,0,5,0,3,2,0.1751602,0.1815854
SB_LC,0,5,0,3,3,0.1976723,0.2061123
SB_LC,0,5,0,4,1,0.1580587,0.1650399
SB_LC,0,5,0,4,2,0.1767554,0.1829219
SB_LC,0,5,0,4,3,0.1992772,0.2064411
SB_LC,0,5,0,5,1,0.1613254,0.1694486
SB_LC,0,5,0,5,2,0.1768607,0.1858976
SB_LC,0,5,0,5,3,0.2011698,0.209592
SB_LC,0,5,1,1,1,0.1383995,0.1499186
SB_LC,0,5,1,1,2,0.1575065,0.1686944
SB_LC,0,5,1,1,3,0.178987,0.1915718
SB_LC,0,5,1,2,1,0.1363218,0.1463155
SB_LC,0,5,1,2,2,0.1562261,0.167731
SB_LC,0,5,1,2,3,0.1784056,0.1890332
SB_LC,0,5,1,3,1,0.1358312,0.1453087
SB_LC,0,5,1,3,2,0.1571565,0.1671528
SB_LC,0,5,1,3,3,0.1785149,0.1900333
SB_LC,0,5,1,4,1,0.145079,0.1564352
SB_LC,0,5,1,4,2,0.162055,0.1732681
SB_LC,0,5,1,4,3,0.1831799,0.1956039
SB_LC,0,5,1,5,1,0.1475845,0.1598467
SB_LC,0,5,1,5,2,0.162393,0.175435
SB_LC,0,5,1,5,3,0.1851059,0.1986703
SB_LC,0,5,2,1,1,0.1179029,0.1343216
SB_LC,0,5,2,1,2,0.1362623,0.1517799
SB_LC,0,5,2,1,3,0.1551941,0.1715257
SB_LC,0,5,2,2,1,0.1201546,0.1357684
SB_LC,0,5,2,2,2,0.1374033,0.1524421
SB_LC,0,5,2,2,3,0.1561868,0.1716344
SB_LC,0,5,2,3,1,0.1228629,0.1384074
SB_LC,0,5,2,3,2,0.1387057,0.1545746
SB_LC,0,5,2,3,3,0.1580589,0.1751822
SB_LC,0,5,2,4,1,0.1162158,0.1304262
SB_LC,0,5,2,4,2,0.1363944,0.1500944
SB_LC,0,5,2,4,3,0.155624,0.1700004
SB_LC,0,5,2,5,1,0.1175635,0.1313978
SB_LC,0,5,2,5,2,0.1353685,0.1506745
SB_LC,0,5,2,5,3,0.1562351,0.1705057
SB_LC,1,0,0,0,1,0.1199128,0.1344631
SB_LC,1,0,0,0,2,0.1332443,0.1489313
SB_LC,1,0,0,0,3,0.1474428,0.1629694
SB_LC,1,0,0,0,4,0.1619309,0.1781085
SB_LC,1,0,0,0,5,0.1766257,0.1927182
SB_LC,1,0,0,0,6,0.1914751,0.2079002
SB_LC,1,0,0,0,7,0.2059475,0.2223322
SB_LC,1,0,0,0,8,0.2210044,0.2377562
SB_LC,1,0,0,1,1,0.1293521,0.1455283
SB_LC,1,0,0,1,2,0.1402174,0.1566247
SB_LC,1,0,0,1,3,0.1541966,0.1712873
SB_LC,1,0,0,1,4,0.1688542,0.1871865
SB_LC,1,0,0,1,5,0.1835972,0.2024893
SB_LC,1,0,0,1,6,0.198343,0.2175965
SB_LC,1,0,0,1,7,0.2129376,0.2328176
SB_LC,1,0,0,1,8,0.2276572,0.2484058
SB_LC,1,0,0,2,1,0.1367183,0.143421
SB_LC,1,0,0,2,2,0.148202,0.1552676
SB_LC,1,0,0,2,3,0.1611096,0.1679194
SB_LC,1,0,0,2,4,0.1762803,0.183779
SB_LC,1,0,0,2,5,0.1913933,0.1993363
SB_LC,1,0,0,2,6,0.2058677,0.215254
SB_LC,1,0,0,2,7,0.2207786,0.2307129
SB_LC,1,0,0,2,8,0.2360238,0.245803
SB_LC,1,0,0,3,1,0.137724,0.1451721
SB_LC,1,0,0,3,2,0.1494185,0.1571133
SB_LC,1,0,0,3,3,0.1625221,0.1706344
SB_LC,1,0,0,3,4,0.1782912,0.1865248
SB_LC,1,0,0,3,5,0.1933296,0.2026789
SB_LC,1,0,0,3,6,0.2086805,0.2189048
SB_LC,1,0,0,3,7,0.2243884,0.234823
SB_LC,1,0,0,3,8,0.239655,0.2509368
SB_LC,1,0,0,4,1,0.1424755,0.1471065
SB_LC,1,0,0,4,2,0.1538905,0.1584573
SB_LC,1,0,0,4,3,0.1673779,0.1719071
SB_LC,1,0,0,4,4,0.182832,0.1875791
SB_LC,1,0,0,4,5,0.1974432,0.2028413
SB_LC,1,0,0,4,6,0.2123524,0.2188934
SB_LC,1,0,0,4,7,0.2275262,0.2339998
SB_LC,1,0,0,4,8,0.2424905,0.2493063
SB_LC,1,0,0,5,1,0.1438642,0.1501472
SB_LC,1,0,0,5,2,0.1543416,0.1599964
SB_LC,1,0,0,5,3,0.1691469,0.175023
SB_LC,1,0,0,5,4,0.1840506,0.1906748
SB_LC,1,0,0,5,5,0.1989476,0.2057243
SB_LC,1,0,0,5,6,0.2139499,0.2213103
SB_LC,1,0,0,5,7,0.2287844,0.2362918
SB_LC,1,0,0,5,8,0.2436724,0.251976
SB_LC,1,0,1,0,1,0.144048,0.1622343
SB_LC,1,0,1,0,2,0.1546262,0.1736547
SB_LC,1,0,1,0,3,0.1704118,0.1902587
SB_LC,1,0,1,0,4,0.1864401,0.2070399
SB_LC,1,0,1,0,5,0.2026368,0.2237561
SB_LC,1,0,1,0,6,0.2187813,0.2397371
SB_LC,1,0,1,0,7,0.2346589,0.256266
SB_LC,1,0,1,0,8,0.2510794,0.273581
SB_LC,1,0,1,1,1,0.1394644,0.1545109
SB_LC,1,0,1,1,2,0.154186,0.170668
SB_LC,1,0,1,1,3,0.1698794,0.1866009
SB_LC,1,0,1,1,4,0.1857459,0.203464
SB_LC,1,0,1,1,5,0.2017908,0.2199731
SB_LC,1,0,1,1,6,0.2175269,0.2358975
SB_LC,1,0,1,1,7,0.233796,0.2528739
SB_LC,1,0,1,1,8,0.2498622,0.2693787
SB_LC,1,0,1,2,1,0.1518468,0.1592747
SB_LC,1,0,1,2,2,0.1645303,0.172134
SB_LC,1,0,1,2,3,0.1784375,0.1865422
SB_LC,1,0,1,2,4,0.1948903,0.2034396
SB_LC,1,0,1,2,5,0.2110077,0.220537
SB_LC,1,0,1,2,6,0.2271693,0.2370163
SB_LC,1,0,1,2,7,0.2432124,0.2545426
SB_LC,1,0,1,2,8,0.2595891,0.2711025
SB_LC,1,0,1,3,1,0.1530632,0.1610868
SB_LC,1,0,1,3,2,0.1658291,0.1744807
SB_LC,1,0,1,3,3,0.1807563,0.1891649
SB_LC,1,0,1,3,4,0.1974091,0.2067259
SB_LC,1,0,1,3,5,0.2137839,0.2243852
SB_LC,1,0,1,3,6,0.2305955,0.2420857
SB_LC,1,0,1,3,7,0.2472734,0.2595421
SB_LC,1,0,1,3,8,0.2644084,0.277262
SB_LC,1,0,1,4,1,0.1578636,0.1629293
SB_LC,1,0,1,4,2,0.1702677,0.1755071
SB_LC,1,0,1,4,3,0.1848719,0.1903631
SB_LC,1,0,1,4,4,0.2016568,0.2073787
SB_LC,1,0,1,4,5,0.2176921,0.2240173
SB_LC,1,0,1,4,6,0.2338699,0.2409557
SB_LC,1,0,1,4,7,0.2502301,0.2577049
SB_LC,1,0,1,4,8,0.2664601,0.2747496
SB_LC,1,0,1,5,1,0.1591851,0.1664672
SB_LC,1,0,1,5,2,0.1704977,0.1774917
SB_LC,1,0,1,5,3,0.1868626,0.193924
SB_LC,1,0,1,5,4,0.2032348,0.2110167
SB_LC,1,0,1,5,5,0.2193563,0.2274416
SB_LC,1,0,1,5,6,0.2354762,0.2443098
SB_LC,1,0,1,5,7,0.2517674,0.2612062
SB_LC,1,0,1,5,8,0.2680191,0.2782302
SB_LC,1,0,2,0,1,0.1549104,0.1727332
SB_LC,1,0,2,0,2,0.16591,0.184398
SB_LC,1,0,2,0,3,0.1802192,0.2002444
SB_LC,1,0,2,0,4,0.1968204,0.2176035
SB_LC,1,0,2,0,5,0.2135956,0.2351259
SB_LC,1,0,2,0,6,0.230327,0.2516579
SB_LC,1,0,2,0,7,0.2467066,0.2695466
SB_LC,1,0,2,0,8,0.2634336,0.2867643
SB_LC,1,0,2,1,1,0.1555492,0.1721878
SB_LC,1,0,2,1,2,0.1682109,0.1855306
SB_LC,1,0,2,1,3,0.1825533,0.200851
SB_LC,1,0,2,1,4,0.1983174,0.2175896
SB_LC,1,0,2,1,5,0.2149699,0.2346703
SB_LC,1,0,2,1,6,0.2313357,0.2522851
SB_LC,1,0,2,1,7,0.2479027,0.2697512
SB_LC,1,0,2,1,8,0.264557,0.2871054
SB_LC,1,0,2,2,1,0.1556183,0.160373
SB_LC,1,0,2,2,2,0.1697779,0.1749609
SB_LC,1,0,2,2,3,0.184781,0.1905293
SB_LC,1,0,2,2,4,0.2018744,0.2080618
SB_LC,1,0,2,2,5,0.2185123,0.2253255
