unit,=,ns
SBox_Type,Stage_Num,Switch_Num,Output_Num,Input_Num,Num_Loads,Rise_Delay,Fall_Delay
SB_LC,2,1,3,5,8,0.484700,0.500425
SB_LC,2,1,3,6,1,0.283975,0.320975
SB_LC,2,1,3,6,2,0.312650,0.346875
SB_LC,2,1,3,6,3,0.341325,0.371850
SB_LC,2,1,3,6,4,0.370000,0.397750
SB_LC,2,1,3,6,5,0.398675,0.423650
SB_LC,2,1,3,6,6,0.427350,0.449550
SB_LC,2,1,3,6,7,0.456025,0.474525
SB_LC,2,1,3,6,8,0.484700,0.500425
SB_LC,2,1,4,1,1,0.283975,0.320975
SB_LC,2,1,4,1,2,0.312650,0.346875
SB_LC,2,1,4,1,3,0.341325,0.371850
SB_LC,2,1,4,1,4,0.370000,0.397750
SB_LC,2,1,4,1,5,0.398675,0.423650
SB_LC,2,1,4,1,6,0.427350,0.449550
SB_LC,2,1,4,1,7,0.456025,0.474525
SB_LC,2,1,4,1,8,0.484700,0.500425
SB_LC,2,1,4,2,1,0.283975,0.320975
SB_LC,2,1,4,2,2,0.312650,0.346875
SB_LC,2,1,4,2,3,0.341325,0.371850
SB_LC,2,1,4,2,4,0.370000,0.397750
SB_LC,2,1,4,2,5,0.398675,0.423650
SB_LC,2,1,4,2,6,0.427350,0.449550
SB_LC,2,1,4,2,7,0.456025,0.474525
SB_LC,2,1,4,2,8,0.484700,0.500425
SB_LC,2,1,4,3,1,0.283975,0.320975
SB_LC,2,1,4,3,2,0.312650,0.346875
SB_LC,2,1,4,3,3,0.341325,0.371850
SB_LC,2,1,4,3,4,0.370000,0.397750
SB_LC,2,1,4,3,5,0.398675,0.423650
SB_LC,2,1,4,3,6,0.427350,0.449550
SB_LC,2,1,4,3,7,0.456025,0.474525
SB_LC,2,1,4,3,8,0.484700,0.500425
SB_LC,2,1,4,4,1,0.283975,0.320975
SB_LC,2,1,4,4,2,0.312650,0.346875
SB_LC,2,1,4,4,3,0.341325,0.371850
SB_LC,2,1,4,4,4,0.370000,0.397750
